date,Discharge (m3/s)
Jan-90,491.28
Feb-90,126.96
Mar-90,170.01
Apr-90,69.75
May-90,10.51
Jun-90,987.92
Jul-90,6575.42
Aug-90,4111.3
Sep-90,3642.4
Oct-90,3274.59
Nov-90,1848.7
Dec-90,296.29
Jan-91,318.741
Feb-91,182.91
Mar-91,66.848
Apr-91,27.84
May-91,173.148
Jun-91,492.508
Jul-91,4534.57
Aug-91,8574.84
Sep-91,8128.2
Oct-91,1244.1
Nov-91,526.577
Dec-91,615.9
Jan-92,75.72
Feb-92,39.394
Mar-92,49.007
Apr-92,22.18
May-92,32.688
Jun-92,484.238
Jul-92,3312.6
Aug-92,4376.02
Sep-92,2124.91
Oct-92,560.783
Nov-92,218.075
Dec-92,145.243
Jan-93,208.11
Feb-93,135.849
Mar-93,42.748
Apr-93,18.016
May-93,11.129
Jun-93,2007.793
Jul-93,4589.16
Aug-93,3076.83
Sep-93,7226.8
Oct-93,3158.18
Nov-93,986.85
Dec-93,312.884
Jan-94,308.576
Feb-94,174.709
Mar-94,339.022
Apr-94,103.205
May-94,66.331
Jun-94,6650.808
Jul-94,11859.12
Aug-94,10745.3
Sep-94,6098.9
Oct-94,2277.52
Nov-94,703.25
Dec-94,354.024
Jan-95,404.286
Feb-95,209.744
Mar-95,164.155
Apr-95,38.444
May-95,16.397
Jun-95,434.229
Jul-95,4487.39
Aug-95,6612.88
Sep-95,6211.91
Oct-95,1137.44
Nov-95,1040.59
Dec-95,433.34
Jan-96,211.398
Feb-96,138.094
Mar-96,57.673
Apr-96,34.262
May-96,24.715
Jun-96,2680.442
Jul-96,7273.17
Aug-96,12281.9
Sep-96,5390.04
Oct-96,1703.72
Nov-96,474.17
Dec-96,261.713
Jan-97,1529.345
Feb-97,783.23
Mar-97,427.854
Apr-97,460.222
May-97,210.085
Jun-97,1412.381
Jul-97,4514.09
Aug-97,10792.5
Sep-97,8321.58
Oct-97,1653.62
Nov-97,1143.423
Dec-97,1034.56
Jan-98,332.669
Feb-98,194.556
Mar-98,112.918
Apr-98,31.48
May-98,170.499
Jun-98,1104.33
Jul-98,4662.57
Aug-98,5143.33
Sep-98,9928.1
Oct-98,3585.92
Nov-98,2499.78
Dec-98,651.19
Jan-99,279.658
Feb-99,242.273
Mar-99,114.475
Apr-99,36.08
May-99,80.823
Jun-99,913.457
Jul-99,4915.414
Aug-99,8612.8
Sep-99,11165.4
Oct-99,4433.33
Nov-99,944.01
Dec-99,396.18
Jan-00,117.081
Feb-00,67.333
Mar-00,142.13
Apr-00,62.094
May-00,6.703
Jun-00,952.781
Jul-00,4327.97
Aug-00,3192.3
Sep-00,3378.64
Oct-00,1103.73
Nov-00,312.566
Dec-00,170.347
1-Jan,224.042
1-Feb,152.657
1-Mar,81.744
1-Apr,40.318
1-May,16.149
1-Jun,1522.767
1-Jul,14423.524
1-Aug,6405.274
1-Sep,3899.273
1-Oct,2397.738
1-Nov,534.538
1-Dec,282.386
2-Jan,156.812
2-Feb,159.027
2-Mar,130.055
2-Apr,41.419
2-May,0
2-Jun,1789.016
2-Jul,2213.288
2-Aug,5257.219
2-Sep,5703.427
2-Oct,1894.949
2-Nov,434.729
2-Dec,234.142
3-Jan,353.747
3-Feb,199.035
3-Mar,91.637
3-Apr,98.292
3-May,109.491
3-Jun,792.967
3-Jul,3054.44
3-Aug,4414.148
3-Sep,7262.214
3-Oct,6530.974
3-Nov,2324.662
3-Dec,646.162
4-Jan,206.896
4-Feb,291.736
4-Mar,107.235
4-Apr,26.506
4-May,29.069
4-Jun,430.219
4-Jul,2907.825
4-Aug,7820.035
4-Sep,4148.2
4-Oct,2724.563
4-Nov,524.39
4-Dec,274.872
5-Jan,146.685
5-Feb,65.956
5-Mar,93.364
5-Apr,0
5-May,173.567
5-Jun,1465.833
5-Jul,7262.119
5-Aug,5696.091
5-Sep,3239.591
5-Oct,1515.129
5-Nov,563.119
5-Dec,241.796
6-Jan,140.233
6-Feb,144.721
6-Mar,92.934
6-Apr,58.908
6-May,151.023
6-Jun,646.817
6-Jul,4693.079
6-Aug,7873.473
6-Sep,2927.028
6-Oct,1021.074
6-Nov,416.814
6-Dec,208.672
7-Jan,196.376
7-Feb,155.098
7-Mar,80.246
7-Apr,45.204
7-May,12.705
7-Jun,512.831
7-Jul,3264.031
7-Aug,7008.017
7-Sep,6105.744
7-Oct,2952.232
7-Nov,947.544
7-Dec,294.722
8-Jan,161.387
8-Feb,70.692
8-Mar,29.881
8-Apr,2.427
8-May,0
8-Jun,2320.594
8-Jul,8970.369
8-Aug,5980.543
8-Sep,3616.746
8-Oct,1291.334
8-Nov,343.079
8-Dec,215.144
9-Jan,143.685
9-Feb,73.426
9-Mar,33.152
9-Apr,5.68
9-May,21.875
9-Jun,124.975
9-Jul,5341.029
9-Aug,5820.24
9-Sep,4135.719
9-Oct,2292.098
9-Nov,542.868
9-Dec,262.924
10-Jan,132.066
10-Feb,84.867
10-Mar,48.139
10-Apr,76.13
10-May,118.174
10-Jun,132.615
10-Jul,1915.503
10-Aug,2418.407
10-Sep,3485.158
10-Oct,1200.784
10-Nov,463.942
10-Dec,326.093
11-Jan,691.703
11-Feb,282.248
11-Mar,108.693
11-Apr,64.585
11-May,41.071
11-Jun,2175.574
11-Jul,3589.019
11-Aug,9823.025
11-Sep,10821.698
11-Oct,2034.852
11-Nov,552.423
11-Dec,286.8
12-Jan,197.185
12-Feb,178.223
12-Mar,88.644
12-Apr,127.324
12-May,44.261
12-Jun,1086.548
12-Jul,3326.08
12-Aug,7771.159
12-Sep,6675.827
12-Oct,1451.434
12-Nov,873.134
12-Dec,315.669
13-Jan,341.332
13-Feb,209.841
13-Mar,525.389
13-Apr,91.176
13-May,135.716
13-Jun,879.637
13-Jul,3561.155
13-Aug,6367.858
13-Sep,4451.625
13-Oct,7988.008
13-Nov,1259.034
13-Dec,493.556
14-Jan,279.627
14-Feb,153.661
14-Mar,98.456
14-Apr,148.118
14-May,111.06
14-Jun,294.933
14-Jul,2751.861
14-Aug,8191.127
14-Sep,6611.596
14-Oct,981.354
14-Nov,377.894
14-Dec,270.948
15-Jan,142.542
15-Feb,124.87
15-Mar,130.846
15-Apr,14.685
15-May,48.657
15-Jun,218.691
15-Jul,6215.465
15-Aug,2409.608
15-Sep,1964.489
15-Oct,596.328
15-Nov,338.833
15-Dec,210.235
16-Jan,156.245
16-Feb,87.158
16-Mar,42.142
16-Apr,12.842
16-May,24.031
16-Jun,208.834
16-Jul,3715.263
16-Aug,6695.262
16-Sep,4010.25
16-Oct,1775.998
16-Nov,431.668
16-Dec,239.623
17-Jan,176.896
17-Feb,101.187
17-Mar,49.234
17-Apr,72.577
17-May,85.704
17-Jun,943.008
17-Jul,5723.168
17-Aug,5702.503
17-Sep,2750.707
17-Oct,1997.455
17-Nov,402.089
17-Dec,239.492
18-Jan,164.534
18-Feb,146.343
18-Mar,131.514
18-Apr,115.952
18-May,59.074
